nachname,vorname,beruf,ort,original
Pahl,Rosa,Literaturagentin?,"Übersetzerin?, Szeged","Pahl, Rosa (Literaturagentin?, Übersetzerin?, Szeged)"
Paizs,Elemér,Übersetzer,Ungarn,"Paizs, Elemér (Übersetzer, Ungarn)"
Palmgren,Elly,Literaturagentin?,"Übersetzerin?, Schweden","Palmgren, Elly (Literaturagentin?, Übersetzerin?, Schweden)"
Pannier,Karl,,,"Pannier, Karl"
Patteg,Max,Theaterdirektor,Schauspieler,"Patteg, Max (Theaterdirektor, Schauspieler)"
Percy,Herbert,persönlicher Vertreter von Alice Kauser,USA,"Percy, Herbert (persönlicher Vertreter von Alice Kauser, USA)"
Perles,Ernst,?,,"Perles, Ernst (?)"
Perles,Oskar,?,,"Perles, Oskar (?)"
Pescellini,O.,Literaturagent?,"Übersetzer?, Dänemark","Pescellini, O. (Literaturagent?, Übersetzer?, Dänemark)"
Pilgram,Wilhelm,Ps. Willy Favart,,"Pilgram, Wilhelm (Ps. Willy Favart)"
Playfair,Arthur Wyndham,,,"Playfair, Arthur Wyndham"
Porterfield,Allen W.,,,"Porterfield, Allen W."
Prasch,Rolf,,,"Prasch, Rolf"
Price,Lawrence Marsden,,,"Price, Lawrence Marsden"
Probizer,Frl. von,Übersetzerin,wohl Italien,"Probizer, Frl. von (Übersetzerin, wohl Italien)"
Puhonny,Ivo,,,"Puhonny, Ivo"
Raggio,Enrico,,,"Raggio, Enrico"
Rehloff-Lindemann,Maria,Theateragentin,Berlin-Karlshorst,"Rehloff-Lindemann, Maria (Theateragentin, Berlin-Karlshorst)"
Requadt,Rudolph,Schriftsteller,,"Requadt, Rudolph (Schriftsteller)"
Rethy,Joseph Bernard (1894–1941; USA; Dichter und Literaturkritiker)),,,"Rethy, Joseph Bernard (1894–1941; USA; Dichter und Literaturkritiker))"
Reʾuveni,Aharon,,,"Reʾuveni, Aharon"
Rieser,Ferdinand,,,"Rieser, Ferdinand"
Roland,Paul,,,"Roland, Paul"
Rosenbaum,Regina,,,"Rosenbaum, Regina"
Rosenzweig,Helene,Literaturagentin? Übersetzerin?,Krakau,"Rosenzweig, Helene (Literaturagentin? Übersetzerin?, Krakau)"
Rothgiesser,Iwan,Verlagsbuchhändler,Berlin,"Rothgiesser, Iwan (Verlagsbuchhändler, Berlin)"
Rothschild,Adelheid von,,,"Rothschild, Adelheid von"
Royaards,Willem,,,"Royaards, Willem"
Runge,Paul,Polizeipräsident,Köln,"Runge, Paul (Polizeipräsident, Köln)"
Rózsa,,Übersetzer,Ungarn? Tschechien?,"Rózsa (Übersetzer, Ungarn? Tschechien?)"
Rökk-Richter,Stefano,Theateragent und Schriftsteller,Italien,"Rökk-Richter, Stefano (Theateragent und Schriftsteller, Italien)"
Salkind,Ilja,,,"Salkind, Ilja"
Sargant,,Literaturagent?,USA,"Sargant (Literaturagent?, USA)"
Schaaf,,Übersetzer,USA,"Schaaf (Übersetzer, USA)"
Schanche,Ingolf,Schauspieler,Norwegen,"Schanche, Ingolf (Schauspieler, Norwegen)"
Schedlich,Hans,,,"Schedlich, Hans"
Schierning,Maria,Übersetzerin,Helsingør,"Schierning, Maria (Übersetzerin, Helsingør)"
Schur,Carl,,,"Schur, Carl"
Schönberger,L.,Konkursverwalter,Berlin,"Schönberger, L. (Konkursverwalter, Berlin)"
Seewitz,Joachim von,,,"Seewitz, Joachim von"
Sequenz,Heinrich,,,"Sequenz, Heinrich"
Sessa,Dr. P.,Übersetzer,Italien,"Sessa, Dr. P. (Übersetzer, Italien)"
Sestan,A.,Mitarbeiter Riccardi-Verlag?,Triest,"Sestan, A. (Mitarbeiter Riccardi-Verlag?, Triest)"
Sforza,Liliane,Professorin?,,"Sforza, Liliane (Professorin?)"
Shaw,Charlotte Frances Payne-Townshend,,,"Shaw, Charlotte Frances Payne-Townshend"
Shubert,Lee,Zuordnung unsicher; evtl. einer seiner jüngeren Brüder,,"Shubert, Lee (Zuordnung unsicher; evtl. einer seiner jüngeren Brüder)"
Singer,Josef,,,"Singer, Josef"
Singermann,Berta,,,"Singermann, Berta"
Skram-Knudsen,Johanne,,,"Skram-Knudsen, Johanne"
Spanuth,Heinrich,,,"Spanuth, Heinrich"
Spingarn,Joel,,,"Spingarn, Joel"
Srdce,Alois,,,"Srdce, Alois"
Steinberg,Ela,Literaturagentin,Prag,"Steinberg, Ela (Literaturagentin, Prag)"
Stephenson,,unbekannter Korrespondenz von Oskar Eirich,,Stephenson (unbekannter Korrespondenz von Oskar Eirich)
Stephenson,Mary L.,Übersetzerin,USA,"Stephenson, Mary L. (Übersetzerin, USA)"
Sternberg,Henry,Literaturagent,Bukarest,"Sternberg, Henry (Literaturagent, Bukarest)"
Stock,Frieda,russ. Übersetzerin,Wien,"Stock, Frieda (russ. Übersetzerin, Wien)"
Stockton,Charles Edward,Literaturagent?,USA?,"Stockton, Charles Edward (Literaturagent?, USA?)"
Strassow,Ferdinand,,,"Strassow, Ferdinand"
Strauss,Dr. J.,Literaturwissenschaftler?,USA,"Strauss, Dr. J. (Literaturwissenschaftler?, USA)"
Sumner,John Saxton,,,"Sumner, John Saxton"
Synge,Millington John,,,"Synge, Millington John"
Szalit,Julius,,,"Szalit, Julius"
Szelinski,Georg,,,"Szelinski, Georg"
Ségal,Bettina,,,"Ségal, Bettina"
Sós,Edmund,,,"Sós, Edmund"
Tarlau,Lisa,Ps. L. Ysaye,,"Tarlau, Lisa (Ps. L. Ysaye)"
Terry,Ethel Grey,,,"Terry, Ethel Grey"
Torel,,Übersetzer,Frankreich,"Torel (Übersetzer, Frankreich)"
Türschmann,Bruno,,,"Türschmann, Bruno"
Valentin,,Literaturagent,Budapest,"Valentin (Literaturagent, Budapest)"
Vallentin,,Übersetzer,Frankreich,"Vallentin (Übersetzer, Frankreich)"
Vészi,Margit,,,"Vészi, Margit"
Wagenvoort,Maurits,,,"Wagenvoort, Maurits"
Wantoch,Julius,Leiter Jüd. Volksbibliothek,Leitmeritz,"Wantoch, Julius (Leiter Jüd. Volksbibliothek, Leitmeritz)"
Whelen,Frederick,,,"Whelen, Frederick"
Wilfferodt,,Jurist,Leipzig,"Wilfferodt (Jurist, Leipzig)"
Winternitz,Marie,Übersetzerin,Polen,"Winternitz, Marie (Übersetzerin, Polen)"
Wisdom,J. H.,Übersetzer,England,"Wisdom, J. H. (Übersetzer, England)"
Wollf,Karl Joseph,,,"Wollf, Karl Joseph"
Wrede,Richard,,,"Wrede, Richard"
Zapolska,Gabriela,,,"Zapolska, Gabriela"
Zavrel,Franz,,,"Zavrel, Franz"
Zeiss,Karl,,,"Zeiss, Karl"
Zöllner,Heinrich,,,"Zöllner, Heinrich"
