=== Gefundene PMB-Treffer ===
10267.xml  [bibl]  "Oskar Baum: Das Leben im Dunkeln"  (no-match)
10267.xml  [person]  "Valentin (Literaturagent, Budapest)"  (no-match)
10268.xml  [person]  "Valentin (Literaturagent, Budapest)"  (no-match)
10270.xml  [bibl]  "The fortnightly review"  (no-match)
10271.xml  [bibl]  "Heinrich Lautensack: Hahnenkampf"  (no-match)
10272.xml  [bibl]  "Heinrich Lautensack: Hahnenkampf"  (no-match)
10272.xml  [person]  "Dalberg, Camilla"  (no-match)
10272.xml  [person]  "Wantoch, Julius (Leiter Jüd. Volksbibliothek, Leitmeritz)"  (no-match)
10273.xml  [bibl]  "Heinrich Lautensack: Hahnenkampf"  (no-match)
10274.xml  [person]  "Benson, Arthur Christopher"  (no-match)
10277.xml  [person]  "Browne, Edith A."  (no-match)
10277.xml  [person]  "Dalberg, Camilla"  (no-match)
10277.xml  [person]  "Krause (Literaturagent? Anwalt?, vielleicht New York)"  (no-match)
10278.xml  [person]  "Singer, Josef"  (no-match)
10279.xml  [person]  "Dalberg, Camilla"  (no-match)
10279.xml  [person]  "Singer, Josef"  (no-match)
10280.xml  [org]  "Gericke & Co. Verlagsbuchhandlung"  (no-match)
10280.xml  [person]  "Singer, Josef"  (no-match)
10281.xml  [person]  "Singer, Josef"  (no-match)
10285.xml  [person]  "Dalberg, Camilla"  (no-match)
10287.xml  [person]  "Schönberger, L. (Konkursverwalter, Berlin)"  (no-match)
10291.xml  [bibl]  "Pantheon-Ausgabe (Buchreihe, S. Fischer)"  (no-match)
10291.xml  [person]  "Dalberg, Camilla"  (no-match)
10293.xml  [person]  "Dalberg, Camilla"  (no-match)
10294.xml  [org]  "G. Szelinski & Co. (Buchhandel, Wien)"  (no-match)
10294.xml  [person]  "Singer, Josef"  (no-match)
10294.xml  [person]  "Szelinski, Georg"  (no-match)
10295.xml  [org]  "G. Szelinski & Co. (Buchhandel, Wien)"  (no-match)
10295.xml  [person]  "Szelinski, Georg"  (no-match)
10296.xml  [org]  "G. Szelinski & Co. (Buchhandel, Wien)"  (no-match)
10296.xml  [person]  "Szelinski, Georg"  (no-match)
10298.xml  [org]  "Globus-Verlag (Berlin)"  (no-match)
10298.xml  [org]  "G. Szelinski & Co. (Buchhandel, Wien)"  (no-match)
10298.xml  [person]  "Szelinski, Georg"  (no-match)
10299.xml  [org]  "Globus-Verlag (Berlin)"  (no-match)
10300.xml  [org]  "Neue Freie Volksbühne Berlin"  (no-match)
10301.xml  [org]  "Globus-Verlag (Berlin)"  (no-match)
10304.xml  [person]  "Heredia (Literaturagent, Spanien)"  (no-match)
10307.xml  [org]  "Neue Freie Volksbühne Berlin"  (no-match)
10308.xml  [person]  "Rózsa (Übersetzer, Ungarn? Tschechien?)"  (no-match)
10309.xml  [org]  "Neue Freie Volksbühne Berlin"  (no-match)
10310.xml  [bibl]  "Alexander Roda Roda und Theodor Etzel (Hgg.): Welthumor"  (no-match)
10312.xml  [org]  "Münchner Schauspielhaus"  (no-match)
10313.xml  [org]  "Münchner Schauspielhaus"  (no-match)
10314.xml  [org]  "Münchner Schauspielhaus"  (no-match)
10317.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10318.xml  [person]  "Fiske, Minnie Maddern"  (no-match)
10320.xml  [org]  "Lessing-Theater Berlin"  (no-match)
10325.xml  [org]  "Pabst-Theater Milwaukee"  (no-match)
10326.xml  [bibl]  "Curt Kraatz: Der Hochtourist"  (no-match)
10326.xml  [person]  "Baumfeld, Maurice"  (no-match)
10326.xml  [person]  "Machiels, Robert de (Theaterleiter und Dramatiker, Paris)"  (no-match)
10326.xml  [org]  "Pabst-Theater Milwaukee"  (no-match)
10327.xml  [org]  "Pabst-Theater Milwaukee"  (no-match)
